4D-CT Data Output File,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,,,,,,,,,,,
96.9798,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,,,,,,,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax,,Xmax - Xmin,,,,mean,diff,,,
,0,52,52.206,50.0689,37.1716,52,0,52,25.3958,52,26.7295,,52.4128,35.0442,1.03E-06,78.8692,87.1235,37.5,,26.4564,25,,25.7282,1.4564,,,
,0,53,52.1457,50.1901,37.2672,53,0,53,25.3958,53,26.7481,,52.3834,35.0436,4.43E-07,78.8699,87.7098,37.5,,26.4865,25,,25.74325,1.4865,,,
,0,54,52.1559,50.1204,37.3928,54,0,54,25.3958,54,26.7633,,52.3789,35.0398,3.29E-07,79.1563,88.3003,37.5,,26.7774,25,,25.8887,1.7774,,,
,0,55,52.2003,50.9531,36.4188,55,0,55,25.3958,55,26.961,,52.6742,35.3339,-9.52E-07,78.8691,89.4707,37.5,,26.1949,25,,25.59745,1.1949,,,
,0,56,52.1629,50.702,37.4039,56,0,56,25.3958,56,26.9768,,52.384,35.0371,-1.01E-06,78.8712,90.0625,37.5,,26.4872,25,,25.7436,1.4872,,,
,0,57,52.2666,51.2351,36.4721,57,0,57,25.3958,57,26.8063,,52.3811,35.3265,-4.65E-07,79.1612,90.9408,37.5,,26.7801,25,,25.89005,1.7801,,,
,0,58,52.3546,51.2796,36.6451,58,0,58,25.3958,58,27.0028,,52.6744,35.3254,-7.02E-07,78.8726,91.5287,37.5,,26.1982,25,,25.5991,1.1982,,,
,0,59,52.2015,51.3524,37.1471,59,0,59,25.3958,59,27.0179,,52.379,35.3247,4.80E-07,79.1631,92.7045,37.5,,26.7841,25,,25.89205,1.7841,,,
,0,60,52.3707,51.8217,36.7248,60,0,60,25.3958,60,27.0917,,52.385,35.3165,6.52E-08,78.8708,93.8812,37.5,,26.4858,25,,25.7429,1.4858,,,
,0,61,52.3106,51.1965,37.7424,61,0,61,25.3958,61,26.9131,,52.6702,35.3196,9.33E-07,78.8725,94.7565,37.5,,26.2023,25,,25.60115,1.2023,,,
,0,62,52.3458,51.7808,36.7799,62,0,62,25.3958,62,27.0509,,52.3817,35.0285,4.92E-07,79.1615,95.3462,37.5,,26.7798,25,,25.8899,1.7798,,,
,0,63,52.506,52.165,36.6991,63,0,63,25.3958,63,27.1167,,52.6709,35.3159,-1.62E-07,78.8713,96.8156,37.5,,26.2004,25,,25.6002,1.2004,,,
,0,64,52.3137,52.1515,37.1085,64,0,64,25.3958,64,27.1175,,52.3804,34.73,-1.07E-07,79.1604,97.4027,37.5,,26.78,25,,25.89,1.78,,,
,0,65,52.5561,53.3317,35.9405,65,0,65,25.3958,65,27.0217,,52.3824,34.7277,1.74E-07,79.1657,98.2848,37.5,,26.7833,25,,25.89165,1.7833,,,
,0,66,52.5154,53.2346,36.038,66,0,66,25.3958,66,27.1524,,52.6694,34.724,-1.27E-07,79.1586,99.1591,37.5,,26.4892,25,,25.7446,1.4892,,,
,0,67,52.4527,52.3657,36.6997,67,0,67,25.3958,67,27.2999,,52.3821,34.4309,-1.48E-08,79.1663,100.335,37.5,,26.7842,25,,25.8921,1.7842,,,
,0,68,53.0415,53.8063,35.9747,68,0,68,25.3958,68,27.2483,,52.6714,34.4294,-2.87E-07,79.1621,101.513,37.5,,26.4907,25,,25.74535,1.4907,,,
,0,69,52.5271,53.4333,35.9735,69,0,69,25.3958,69,27.1731,,52.6717,34.136,-8.34E-09,79.162,102.393,37.5,,26.4903,25,,25.74515,1.4903,,,
,0,70,52.9354,53.8768,35.8085,70,0,70,25.3958,70,27.1937,,52.3828,33.8359,5.80E-07,79.1655,103.271,37.5,,26.7827,25,,25.89135,1.7827,,,
,0,71,53.0016,53.9615,35.8848,71,0,71,25.3958,71,27.3467,,52.6695,33.8299,2.71E-07,79.1624,104.753,37.5,,26.4929,25,,25.74645,1.4929,,,
,0,72,52.9324,54.7157,35.6831,72,0,72,25.3958,72,27.3904,,52.3843,33.5394,5.53E-08,79.1633,105.62,37.5,,26.779,25,,25.8895,1.779,,,
,0,73,52.5423,54.3846,35.7104,73,0,73,25.3958,73,27.1099,,52.3847,33.2432,-2.60E-08,79.1667,106.504,37.5,,26.782,25,,25.891,1.782,,,
,0,74,51.6767,61.6684,30.9015,74,0,74,25.3958,74,27.0067,,52.669,33.2405,1.54E-07,79.1647,107.68,37.5,,26.4957,25,,25.74785,1.4957,,,
,0,75,51.2289,60.2084,32.3042,75,0,75,25.3958,75,27.1936,,52.3799,32.6517,1.02E-07,79.1662,109.147,37.5,,26.7863,25,,25.89315,1.7863,,,
,0,76,51.9522,62.1238,30.7866,76,0,76,25.3958,76,27.3636,,52.669,32.3513,8.60E-08,79.1628,110.608,37.5,,26.4938,25,,25.7469,1.4938,,,
,0,77,51.5603,62.7973,30.7901,77,0,77,25.3958,77,28.2842,,52.6721,32.0599,-5.93E-08,79.1634,111.493,37.5,,26.4913,25,,25.74565,1.4913,,,
,0,78,51.3198,64.3835,30.1475,78,0,78,25.3958,78,28.1542,,52.6684,31.4713,-2.74E-07,79.4575,112.669,37.5,,26.7891,25,,25.89455,1.7891,,,
,0,79,52.2545,65.215,27.3175,79,0,79,25.3958,79,28.3509,,52.6683,29.7066,4.50E-07,79.456,114.426,37.5,,26.7877,25,,25.89385,1.7877,,,
,1,0,78.4166,32.2202,37.4994,0,1,0,25.3958,0,25.3958,,52.9688,20.158,-7.18E-07,78.867,45.7579,37.5,,25.8982,25,,,,,,
,1,1,78.5161,32.6456,37.3607,1,1,1,25.3958,1,25.6723,,52.9678,20.4522,-7.18E-07,78.8676,46.0553,37.5,,25.8998,25,,,,,,
,1,2,78.4005,33.3286,37.2919,2,1,2,25.3958,2,25.741,,52.6769,21.0367,-1.52E-07,78.8692,46.641,37.5,,26.1923,25,,,,,,
,1,3,78.4288,33.7828,37.2252,3,1,3,25.3958,3,26.1042,,52.9685,21.6215,7.66E-08,78.8674,47.5182,37.5,,25.8989,25,,,,,,
,1,4,78.586,34.2788,36.9529,4,1,4,25.3958,4,26.2388,,52.6782,21.9134,6.32E-07,78.8672,48.1055,37.5,,26.189,25,,,,,,
,1,5,78.6851,34.642,37.0366,5,1,5,25.3958,5,26.4118,,52.6792,22.4987,6.32E-07,78.8669,48.6919,37.5,,26.1877,25,,,,,,
,1,6,78.6932,35.2423,36.9512,6,1,6,25.3958,6,26.4202,,52.6771,22.7939,-2.39E-07,78.8668,49.28,37.5,,26.1897,25,,,,,,
,1,7,78.6612,35.9424,37.0612,7,1,7,25.3958,7,26.4327,,52.6748,23.3781,-1.27E-07,78.868,50.451,37.5,,26.1932,25,,,,,,
,1,8,78.8554,36.2256,36.7801,8,1,8,25.3958,8,26.5991,,52.6799,23.6741,-7.19E-07,78.8666,51.0389,37.5,,26.1867,25,,,,,,
,1,9,78.9331,36.4111,36.3519,9,1,9,25.3958,9,26.6483,,52.6798,23.9646,5.65E-09,78.8684,51.6251,37.5,,26.1886,25,,,,,,
