4D-CT Data Output File,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,
99.7751,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax
,1,52,79.5607,51.2063,34.0175,52,1,52,25.5105,52,27.0296,52.4128,35.0442,1.03E-06,78.8692,87.1235,37.5
,1,53,79.5328,51.3849,33.7768,53,1,53,25.5105,53,27.061,52.3834,35.0436,4.43E-07,78.8699,87.7098,37.5
,1,54,79.5467,51.8851,33.8992,54,1,54,25.5105,54,27.0639,52.3789,35.0398,3.29E-07,79.1563,88.3003,37.5
,1,55,79.5578,52.0088,33.3962,55,1,55,25.5105,55,27.1306,52.6742,35.3339,-9.52E-07,78.8691,89.4707,37.5
,1,56,79.7047,52.5561,33.9068,56,1,56,25.5105,56,27.1474,52.384,35.0371,-1.01E-06,78.8712,90.0625,37.5
,1,57,79.3119,51.8559,33.4446,57,1,57,25.5105,57,27.1122,52.3811,35.3265,-4.65E-07,79.1612,90.9408,37.5
,1,58,79.5074,52.5365,33.1646,58,1,58,25.5105,58,27.0495,52.6744,35.3254,-7.02E-07,78.8726,91.5287,37.5
,1,59,79.2096,52.3375,33.5239,59,1,59,25.5105,59,27.1217,52.379,35.3247,4.80E-07,79.1631,92.7045,37.5
,1,60,79.3395,52.5855,33.0714,60,1,60,25.5105,60,27.2052,52.385,35.3165,6.52E-08,78.8708,93.8812,37.5
,1,61,79.6388,53.3613,33.232,61,1,61,25.5105,61,27.2593,52.6702,35.3196,9.33E-07,78.8725,94.7565,37.5
,1,62,78.9704,52.9693,33.6559,62,1,62,25.5105,62,27.1778,52.3817,35.0285,4.92E-07,79.1615,95.3462,37.5
,1,63,79.1927,53.5141,32.8786,63,1,63,25.5105,63,27.2576,52.6709,35.3159,-1.62E-07,78.8713,96.8156,37.5
,1,64,79.2068,53.7101,33.1279,64,1,64,25.5105,64,27.3191,52.3804,34.73,-1.07E-07,79.1604,97.4027,37.5
,1,65,79.0554,53.6477,33.114,65,1,65,25.5105,65,27.2994,52.3824,34.7277,1.74E-07,79.1657,98.2848,37.5
,1,66,79.2905,54.1369,32.7699,66,1,66,25.5105,66,27.3449,52.6694,34.724,-1.27E-07,79.1586,99.1591,37.5
,1,67,79.0829,54.3691,33.1191,67,1,67,25.5105,67,27.364,52.3821,34.4309,-1.48E-08,79.1663,100.335,37.5
,1,68,79.1974,54.6248,32.5134,68,1,68,25.5105,68,27.4878,52.6714,34.4294,-2.87E-07,79.1621,101.513,37.5
,1,69,79.0855,54.6963,32.8538,69,1,69,25.5105,69,27.2955,52.6717,34.136,-8.34E-09,79.162,102.393,37.5
,1,70,79.1944,55.333,32.9458,70,1,70,25.5105,70,27.304,52.3828,33.8359,5.80E-07,79.1655,103.271,37.5
,1,71,79.5174,55.7405,32.8737,71,1,71,25.5105,71,27.2996,52.6695,33.8299,2.71E-07,79.1624,104.753,37.5
,1,72,79.3392,55.9438,32.9511,72,1,72,25.5105,72,27.468,52.3843,33.5394,5.53E-08,79.1633,105.62,37.5
,1,73,79.6068,55.6618,33.0019,73,1,73,25.5105,73,27.4415,52.3847,33.2432,-2.60E-08,79.1667,106.504,37.5
,1,74,79.6384,56.3333,32.7127,74,1,74,25.5105,74,27.3372,52.669,33.2405,1.54E-07,79.1647,107.68,37.5
,1,75,79.5921,56.3389,32.8017,75,1,75,25.5105,75,27.5479,52.3799,32.6517,1.02E-07,79.1662,109.147,37.5
,1,76,79.4369,59.276,30.2031,76,1,76,25.5105,76,27.6595,52.669,32.3513,8.60E-08,79.1628,110.608,37.5
,1,77,79.5796,57.9243,31.5453,77,1,77,25.5105,77,27.5503,52.6721,32.0599,-5.93E-08,79.1634,111.493,37.5
,1,78,79.7631,57.5837,32.5033,78,1,78,25.5105,78,27.1449,52.6684,31.4713,-2.74E-07,79.4575,112.669,37.5
,1,79,79.6695,63.2271,27.0499,79,1,79,25.5105,79,27.6297,52.6683,29.7066,4.50E-07,79.456,114.426,37.5
